hhid,eligible_members,formal_savers,informal_savers,savings_responses,savings_answered,savings_target,bank_access_count,mobile_money_access_count,assisted_banking_count,any_bank_access,any_mobile_money_access,any_assisted_banking,household_size,members_with_age,head_indiv,head_sex_code,head_age,state_code,lga_code,zone_code,urban_rural_code,state_name,working_age_members,members_any_work,members_income_activity,members_helped_income_activity,reported_main_job_earnings,total_reported_main_job_earnings,employment_rate,digital_age10_members,mobile_access_count,internet_access_count,any_mobile_access,any_internet_access,asset_items_listed,asset_types_owned,total_units_owned,total_current_asset_value,income_source_types_listed,income_source_types_received,total_reported_income_sources
59185,4,0,0,4,4,0,2,2,1,1,1,1,10.0,10.0,1.0,1.0,39.0,5.0,518.0,2.0,2.0,Bauchi,8,1,0,0,1,30000.0,0.125,5,5,0,1,0,42,6,18.0,212200.0,7,0,0.0
59186,2,1,1,2,2,1,1,1,1,1,1,1,6.0,6.0,1.0,1.0,43.0,5.0,518.0,2.0,2.0,Bauchi,6,3,0,0,2,800600.0,0.5,4,4,1,1,1,42,8,14.0,166800.0,7,0,0.0
59187,3,1,1,3,3,1,1,1,1,1,1,1,3.0,3.0,1.0,1.0,79.0,5.0,518.0,2.0,2.0,Bauchi,3,3,0,0,3,620000.0,1.0,3,3,1,1,1,42,6,13.0,30200.0,7,0,0.0
59188,3,0,0,3,3,0,1,0,1,1,0,1,3.0,3.0,1.0,1.0,62.0,5.0,518.0,2.0,2.0,Bauchi,3,3,0,0,3,403000.0,1.0,3,3,1,1,1,42,7,18.0,173500.0,7,0,0.0
59189,4,2,3,4,4,1,2,2,2,1,1,1,8.0,8.0,1.0,1.0,44.0,5.0,518.0,2.0,2.0,Bauchi,8,2,0,0,2,255000.0,0.25,7,5,2,1,1,42,13,26.0,1116800.0,7,0,0.0
59190,3,1,1,3,3,1,2,2,1,1,1,1,7.0,7.0,1.0,1.0,42.0,5.0,518.0,2.0,2.0,Bauchi,5,4,0,0,4,12500.0,0.8,5,5,1,1,1,42,8,15.0,271500.0,7,0,0.0
59191,8,2,2,8,8,1,2,8,7,1,1,1,11.0,11.0,1.0,1.0,52.0,5.0,518.0,2.0,2.0,Bauchi,10,6,0,0,6,13500.0,0.6,10,10,5,1,1,42,7,21.0,305500.0,7,0,0.0
59192,5,1,1,5,5,1,1,5,5,1,1,1,5.0,5.0,2.0,2.0,55.0,5.0,518.0,2.0,2.0,Bauchi,5,5,0,0,5,12500.0,1.0,5,5,0,1,0,42,4,11.0,26500.0,7,0,0.0
59212,3,0,0,3,3,0,0,0,0,0,0,0,7.0,7.0,1.0,1.0,30.0,5.0,511.0,2.0,2.0,Bauchi,7,2,0,0,2,100000.0,0.2857142857142857,3,3,0,1,0,42,4,13.0,41000.0,7,0,0.0
59214,3,0,0,3,3,0,0,0,3,0,0,1,5.0,5.0,1.0,1.0,60.0,5.0,514.0,2.0,2.0,Bauchi,3,3,0,0,3,135000.0,1.0,3,3,0,1,0,42,4,7.0,66000.0,7,2,170000.0
60001,2,0,0,2,2,0,1,0,0,1,0,0,1.0,1.0,1.0,1.0,40.0,6.0,602.0,5.0,2.0,Bayelsa,2,1,0,0,1,70000.0,0.5,2,1,0,1,0,42,6,7.0,37000.0,7,0,0.0
60002,2,0,0,2,2,0,1,1,2,1,1,1,5.0,5.0,1.0,1.0,38.0,6.0,602.0,5.0,2.0,Bayelsa,5,1,0,0,0,0.0,0.2,3,1,0,1,0,42,7,9.0,51500.0,7,0,0.0
60004,1,0,0,1,1,0,0,0,1,0,0,1,1.0,1.0,1.0,2.0,61.0,6.0,602.0,5.0,2.0,Bayelsa,1,1,0,0,0,0.0,1.0,1,0,0,0,0,42,2,2.0,2500.0,7,0,0.0
60005,1,1,1,1,1,1,1,0,0,1,0,0,1.0,1.0,6.0,2.0,27.0,6.0,602.0,5.0,2.0,Bayelsa,1,1,0,0,1,60000.0,1.0,1,1,0,1,0,42,12,12.0,283000.0,7,0,0.0
60006,3,0,3,3,3,1,0,0,0,0,0,0,2.0,2.0,2.0,2.0,59.0,6.0,602.0,5.0,2.0,Bayelsa,3,3,0,0,2,97000.0,1.0,3,3,0,1,0,42,3,5.0,23000.0,7,0,0.0
60008,1,0,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,65.0,6.0,602.0,5.0,2.0,Bayelsa,1,0,0,0,0,0.0,0.0,1,0,0,0,0,42,4,5.0,157000.0,7,0,0.0
